,Date,Name,Points,Prop
0,"<div class=""sc-fWIMVQ dQGlAe"">Start: 43:39</div>",James Paxton,5.5,Pitcher Strikeouts
1,"<div class=""sc-fWIMVQ dQGlAe"">Start: 43:39</div>",Tyler Anderson,4.0,Pitcher Strikeouts
2,"<div class=""sc-fWIMVQ dQGlAe"">Start: 45:39</div>",Bryce Miller,5.5,Pitcher Strikeouts
3,"<div class=""sc-fWIMVQ dQGlAe"">Start: 43:39</div>",Tyler Anderson + James Paxton,0.5,1st Inning Runs Allowed
4,"<div class=""sc-fWIMVQ dQGlAe"">Start: 43:39</div>",Tyler Anderson + James Paxton,1.5,1st Inning Hits Allowed
5,"<div class=""sc-fWIMVQ dQGlAe"">Start: 43:39</div>",Justin Turner,1.5,Total Bases
6,"<div class=""sc-fWIMVQ dQGlAe"">Start: 45:39</div>",Jace Peterson,0.5,Total Bases
7,"<div class=""sc-fWIMVQ dQGlAe"">Start: 43:39</div>",James Paxton,2.5,Earned Runs Allowed
8,"<div class=""sc-fWIMVQ dQGlAe"">Start: 43:38</div>",Bryce Miller,4.5,Hits Allowed
9,"<div class=""sc-fWIMVQ dQGlAe"">Start: 43:38</div>",Bryce Miller,35.5,Pitcher Fantasy Score
10,"<div class=""sc-fWIMVQ dQGlAe"">Start: 43:38</div>",Brandon Drury,1.5,Hits+Runs+RBIS
11,"<div class=""sc-fWIMVQ dQGlAe"">Start: 43:38</div>",Gio Urshela,1.5,Hits+Runs+RBIS
12,"<div class=""sc-fWIMVQ dQGlAe"">Start: 45:38</div>",Esteury Ruiz,1.5,Hits+Runs+RBIS
13,"<div class=""sc-fWIMVQ dQGlAe"">Start: 45:38</div>",J.P. Crawford,1.5,Hits+Runs+RBIS
14,"<div class=""sc-fWIMVQ dQGlAe"">Start: 45:38</div>",Seth Brown,1.5,Hits+Runs+RBIS
15,"<div class=""sc-fWIMVQ dQGlAe"">Start: 43:38</div>",James Paxton,15.5,Pitching Outs
16,"<div class=""sc-fWIMVQ dQGlAe"">Start: 43:38</div>",Tyler Anderson,17.0,Pitching Outs
17,"<div class=""sc-fWIMVQ dQGlAe"">Start: 43:37</div>",Rafael Devers,7.5,Hitter Fantasy Score
18,"<div class=""sc-fWIMVQ dQGlAe"">Start: 43:37</div>",Shohei Ohtani,7.5,Hitter Fantasy Score
19,"<div class=""sc-fWIMVQ dQGlAe"">Start: 43:37</div>",Masataka Yoshida,7.0,Hitter Fantasy Score
20,"<div class=""sc-fWIMVQ dQGlAe"">Start: 43:37</div>",Mike Trout,7.5,Hitter Fantasy Score
