,Unnamed: 0,Date,Name,Points,Prop,Outcome
0,0,"Tue, May 02 6:40 PM",Bam Adebayo,18.5,Points,0
1,1,"Tue, May 02 6:40 PM",Jalen Brunson,24.5,Points,1
2,2,"Tue, May 02 6:40 PM",Gabe Vincent,13.5,Points,0
3,3,"Tue, May 02 6:40 PM",RJ Barrett,21.5,Points,1
4,4,"Tue, May 02 6:40 PM",Kevin Love,9.5,Points,0
5,5,"Tue, May 02 6:40 PM",Mitchell Robinson,6.5,Points,1
6,6,"Tue, May 02 6:40 PM",Max Strus,11.5,Points,1
7,7,"Tue, May 02 9:10 PM",LeBron James,26.5,Points,0
8,8,"Tue, May 02 9:10 PM",Stephen Curry,31.5,Points,0
9,9,"Tue, May 02 9:10 PM",Anthony Davis,25.5,Points,0
10,10,"Tue, May 02 9:10 PM",Klay Thompson,22.5,Points,0
11,11,"Tue, May 02 9:10 PM",D'Angelo Russell,15.5,Points,0
12,12,"Tue, May 02 9:10 PM",Andrew Wiggins,17.5,Points,1
13,13,"Tue, May 02 9:10 PM",Austin Reaves,16.5,Points,0
14,14,"Tue, May 02 9:10 PM",Draymond Green,8.5,Points,1
15,15,"Tue, May 02 9:10 PM",Rui Hachimura,9.5,Points,0
16,16,"Tue, May 02 9:10 PM",Kevon Looney,7.0,Points,0
17,17,"Tue, May 02 9:10 PM",Dennis Schroder,7.0,Points,1
18,18,"Tue, May 02 9:10 PM",Jordan Poole,12.5,Points,0
19,19,"Tue, May 02 6:40 PM",Bam Adebayo,8.5,Rebounds,0
20,20,"Tue, May 02 6:40 PM",Jalen Brunson,4.0,Rebounds,1
21,21,"Tue, May 02 6:40 PM",RJ Barrett,5.5,Rebounds,1
22,22,"Tue, May 02 6:40 PM",Kevin Love,6.5,Rebounds,0
23,23,"Tue, May 02 6:40 PM",Mitchell Robinson,11.0,Rebounds,0
24,24,"Tue, May 02 6:40 PM",Max Strus,3.5,Rebounds,0
25,25,"Tue, May 02 9:10 PM",LeBron James,9.5,Rebounds,0
26,26,"Tue, May 02 9:10 PM",Stephen Curry,5.5,Rebounds,0
27,27,"Tue, May 02 9:10 PM",Anthony Davis,13.5,Rebounds,0
28,28,"Tue, May 02 9:10 PM",Klay Thompson,4.0,Rebounds,1
